ProgrammeCoursesID,Programme code,Study Year,Academic Year,Course,Course Type
85,10001,1.0,2021-2022,1136,compulsory-elective
86,10001,1.0,2021-2022,1048,compulsory-elective
87,10001,1.0,2021-2022,1194,elective
88,10001,1.0,2021-2022,1079,elective
89,10001,1.0,2021-2022,1054,elective
90,10001,1.0,2021-2022,1043,elective
91,10001,1.0,2021-2022,1006,elective
92,10001,1.0,2022-2023,1263,compulsory
93,10001,1.0,2022-2023,1282,compulsory-elective
94,10001,1.0,2022-2023,1170,compulsory-elective
95,10001,1.0,2022-2023,1098,compulsory-elective
96,10001,1.0,2022-2023,1005,compulsory-elective
97,10001,1.0,2022-2023,1255,elective
98,10001,1.0,2022-2023,1222,elective
99,10001,1.0,2022-2023,1178,elective
100,10001,1.0,2022-2023,1088,elective
101,10001,1.0,2022-2023,1070,elective
102,10001,1.0,2022-2023,1067,elective
103,10001,1.0,2023-2024,1014,compulsory
104,10001,1.0,2023-2024,1299,compulsory-elective
105,10001,1.0,2023-2024,1296,compulsory-elective
106,10001,1.0,2023-2024,1132,compulsory-elective
107,10001,1.0,2023-2024,1046,compulsory-elective
108,10001,1.0,2023-2024,1289,compulsory-elective
109,10001,1.0,2023-2024,1223,compulsory-elective
110,10001,1.0,2023-2024,1137,compulsory-elective
111,10001,1.0,2023-2024,1082,compulsory-elective
112,10001,2.0,2013-2014,1265,compulsory
113,10001,2.0,2013-2014,1213,compulsory-elective
114,10001,2.0,2013-2014,1085,compulsory-elective
115,10001,2.0,2013-2014,1075,compulsory-elective
116,10001,2.0,2013-2014,1272,elective
117,10001,2.0,2013-2014,1139,elective
118,10001,2.0,2013-2014,1101,elective
119,10001,2.0,2013-2014,1098,elective
120,10001,2.0,2013-2014,1083,elective
121,10001,2.0,2014-2015,1185,compulsory
122,10001,2.0,2014-2015,1271,compulsory-elective
123,10001,2.0,2014-2015,1258,compulsory-elective
124,10001,2.0,2014-2015,1073,compulsory-elective
125,10001,2.0,2014-2015,1065,compulsory-elective
126,10001,2.0,2014-2015,1218,compulsory-elective
127,10001,2.0,2014-2015,1208,compulsory-elective
128,10001,2.0,2014-2015,1100,compulsory-elective
129,10001,2.0,2014-2015,1090,compulsory-elective
130,10001,2.0,2015-2016,1221,compulsory
131,10001,2.0,2015-2016,1073,compulsory
132,10001,2.0,2015-2016,1230,compulsory
133,10001,2.0,2015-2016,1208,compulsory
134,10001,2.0,2015-2016,1201,elective
135,10001,2.0,2015-2016,1199,elective
136,10001,2.0,2015-2016,1144,elective
137,10001,2.0,2015-2016,1086,elective
138,10001,2.0,2015-2016,1040,elective
139,10001,2.0,2015-2016,1011,elective
140,10001,2.0,2016-2017,1258,compulsory
141,10001,2.0,2016-2017,1284,compulsory-elective
142,10001,2.0,2016-2017,1094,compulsory-elective
143,10001,2.0,2016-2017,1008,compulsory-elective
144,10001,2.0,2016-2017,1250,elective
145,10001,2.0,2016-2017,1197,elective
146,10001,2.0,2016-2017,1176,elective
147,10001,2.0,2016-2017,1011,elective
148,10001,2.0,2017-2018,1240,compulsory
149,10001,2.0,2017-2018,1194,compulsory
150,10001,2.0,2017-2018,1208,compulsory-elective
151,10001,2.0,2017-2018,1158,compulsory-elective
152,10001,2.0,2017-2018,1133,compulsory-elective
153,10001,2.0,2017-2018,1060,compulsory-elective
154,10001,2.0,2017-2018,1257,elective
155,10001,2.0,2017-2018,1201,elective
156,10001,2.0,2017-2018,1169,elective
157,10001,2.0,2017-2018,1081,elective
158,10001,2.0,2017-2018,1066,elective
159,10001,2.0,2017-2018,1021,elective
160,10001,2.0,2018-2019,1276,compulsory
161,10001,2.0,2018-2019,1129,compulsory
162,10001,2.0,2018-2019,1117,compulsory-elective
163,10001,2.0,2018-2019,1116,compulsory-elective
164,10001,2.0,2018-2019,1048,compulsory-elective
165,10001,2.0,2018-2019,1248,elective
166,10001,2.0,2018-2019,1235,elective
167,10001,2.0,2018-2019,1204,elective
168,10001,2.0,2018-2019,1153,elective
169,10001,2.0,2018-2019,1076,elective
170,10001,2.0,2019-2020,1108,compulsory
171,10001,2.0,2019-2020,1077,compulsory-elective
172,10001,2.0,2019-2020,1024,compulsory-elective
173,10001,2.0,2019-2020,1014,compulsory-elective
174,10001,2.0,2019-2020,1234,elective
175,10001,2.0,2019-2020,1224,elective
176,10001,2.0,2019-2020,1202,elective
177,10001,2.0,2019-2020,1200,elective
178,10001,2.0,2019-2020,1025,elective
179,10001,2.0,2020-2021,1048,compulsory
180,10001,2.0,2020-2021,1196,compulsory-elective
181,10001,2.0,2020-2021,1194,compulsory-elective
182,10001,2.0,2020-2021,1107,compulsory-elective
183,10001,2.0,2020-2021,1096,compulsory-elective
184,10001,2.0,2020-2021,1258,elective
185,10001,2.0,2020-2021,1182,elective
186,10001,2.0,2020-2021,1158,elective
187,10001,2.0,2020-2021,1130,elective
188,10001,2.0,2020-2021,1064,elective
189,10001,2.0,2021-2022,1142,compulsory
190,10001,2.0,2021-2022,1287,compulsory-elective
191,10001,2.0,2021-2022,1206,compulsory-elective
192,10001,2.0,2021-2022,1236,elective
193,10001,2.0,2021-2022,1178,elective
194,10001,2.0,2021-2022,1029,elective
195,10001,2.0,2021-2022,1024,elective
196,10001,2.0,2021-2022,1007,elective
197,10001,2.0,2022-2023,1286,compulsory
198,10001,2.0,2022-2023,1187,compulsory
199,10001,2.0,2022-2023,1222,compulsory
200,10001,2.0,2022-2023,1040,compulsory
201,10001,2.0,2022-2023,1275,elective
202,10001,2.0,2022-2023,1210,elective
203,10001,2.0,2022-2023,1194,elective
204,10001,2.0,2022-2023,1191,elective
205,10001,2.0,2022-2023,1037,elective
206,10001,2.0,2022-2023,1017,elective
207,10001,2.0,2023-2024,1163,compulsory
208,10001,2.0,2023-2024,1146,compulsory
209,10001,2.0,2023-2024,1035,compulsory-elective
210,10001,2.0,2023-2024,1010,compulsory-elective
211,10001,2.0,2023-2024,1011,compulsory-elective
212,10001,2.0,2023-2024,1294,elective
213,10001,2.0,2023-2024,1283,elective
214,10001,2.0,2023-2024,1184,elective
215,10001,2.0,2023-2024,1180,elective
216,10001,3.0,2013-2014,1236,compulsory
217,10001,3.0,2013-2014,1093,compulsory
218,10001,3.0,2013-2014,1255,compulsory-elective
219,10001,3.0,2013-2014,1235,compulsory-elective
220,10001,3.0,2013-2014,1140,compulsory-elective
221,10001,3.0,2013-2014,1266,elective
222,10001,3.0,2013-2014,1160,elective
223,10001,3.0,2013-2014,1135,elective
224,10001,3.0,2013-2014,1100,elective
225,10001,3.0,2013-2014,1037,elective
226,10001,3.0,2013-2014,1034,elective
227,10001,3.0,2014-2015,1255,compulsory
228,10001,3.0,2014-2015,1033,compulsory-elective
229,10001,3.0,2014-2015,1023,compulsory-elective
230,10001,3.0,2014-2015,1220,elective
231,10001,3.0,2014-2015,1149,elective
232,10001,3.0,2014-2015,1098,elective
233,10001,3.0,2014-2015,1076,elective
234,10001,3.0,2014-2015,1032,elective
235,10001,3.0,2015-2016,1168,compulsory
236,10001,3.0,2015-2016,1149,compulsory-elective
237,10001,3.0,2015-2016,1146,compulsory-elective
238,10001,3.0,2015-2016,1103,compulsory-elective
239,10001,3.0,2015-2016,1008,compulsory-elective
240,10001,3.0,2015-2016,1233,elective
241,10001,3.0,2015-2016,1205,elective
242,10001,3.0,2015-2016,1190,elective
243,10001,3.0,2015-2016,1067,elective
244,10001,3.0,2015-2016,1049,elective
245,10001,3.0,2015-2016,1009,elective
246,10001,3.0,2016-2017,1128,compulsory
247,10001,3.0,2016-2017,1222,compulsory-elective
248,10001,3.0,2016-2017,1122,compulsory-elective
249,10001,3.0,2016-2017,1120,compulsory-elective
250,10001,3.0,2016-2017,1273,elective
251,10001,3.0,2016-2017,1182,elective
252,10001,3.0,2016-2017,1150,elective
253,10001,3.0,2016-2017,1052,elective
254,10001,3.0,2017-2018,1248,compulsory
255,10001,3.0,2017-2018,1221,compulsory
256,10001,3.0,2017-2018,1048,compulsory
257,10001,3.0,2017-2018,1025,compulsory
258,10001,3.0,2017-2018,1238,elective
259,10001,3.0,2017-2018,1211,elective
260,10001,3.0,2017-2018,1117,elective
261,10001,3.0,2017-2018,1072,elective
262,10001,3.0,2018-2019,1013,compulsory
263,10001,3.0,2018-2019,1273,compulsory-elective
264,10001,3.0,2018-2019,1230,compulsory-elective
265,10001,3.0,2018-2019,1079,compulsory-elective
266,10001,3.0,2018-2019,1237,elective
267,10001,3.0,2018-2019,1205,elective
268,10001,3.0,2018-2019,1197,elective
269,10001,3.0,2018-2019,1185,elective
270,10001,3.0,2018-2019,1058,elective
271,10001,3.0,2018-2019,1043,elective
272,10001,3.0,2019-2020,1049,compulsory
273,10001,3.0,2019-2020,1205,compulsory-elective
274,10001,3.0,2019-2020,1152,compulsory-elective
275,10001,3.0,2019-2020,1055,compulsory-elective
276,10001,3.0,2019-2020,1292,elective
277,10001,3.0,2019-2020,1189,elective
278,10001,3.0,2019-2020,1170,elective
279,10001,3.0,2019-2020,1118,elective
280,10001,3.0,2019-2020,1090,elective
281,10001,3.0,2019-2020,1073,elective
282,10001,3.0,2020-2021,1077,compulsory
283,10001,3.0,2020-2021,1213,compulsory-elective
284,10001,3.0,2020-2021,1199,compulsory-elective
285,10001,3.0,2020-2021,1049,compulsory-elective
286,10001,3.0,2020-2021,1222,elective
287,10001,3.0,2020-2021,1192,elective
288,10001,3.0,2020-2021,1164,elective
289,10001,3.0,2020-2021,1113,elective
290,10001,3.0,2020-2021,1031,elective
291,10001,3.0,2021-2022,1276,compulsory
292,10001,3.0,2021-2022,1207,compulsory-elective
293,10001,3.0,2021-2022,1118,compulsory-elective
294,10001,3.0,2021-2022,1217,elective
295,10001,3.0,2021-2022,1162,elective
296,10001,3.0,2021-2022,1072,elective
297,10001,3.0,2021-2022,1064,elective
298,10001,3.0,2022-2023,1184,compulsory
299,10001,3.0,2022-2023,1218,compulsory-elective
300,10001,3.0,2022-2023,1066,compulsory-elective
301,10001,3.0,2022-2023,1272,elective
302,10001,3.0,2022-2023,1190,elective
303,10001,3.0,2022-2023,1131,elective
304,10001,3.0,2022-2023,1125,elective
305,10001,3.0,2022-2023,1046,elective
306,10001,3.0,2023-2024,1070,compulsory
307,10001,3.0,2023-2024,1009,compulsory
308,10001,3.0,2023-2024,1290,compulsory-elective
309,10001,3.0,2023-2024,1173,compulsory-elective
310,10001,3.0,2023-2024,1004,compulsory-elective
311,10001,3.0,2023-2024,1296,elective
312,10001,3.0,2023-2024,1240,elective
313,10001,3.0,2023-2024,1160,elective
314,10001,3.0,2023-2024,1158,elective
315,10001,3.0,2023-2024,1115,elective
316,10001,3.0,2023-2024,1022,elective
317,10011,1.0,2013-2014,1162,compulsory
318,10011,1.0,2013-2014,1240,compulsory-elective
319,10011,1.0,2013-2014,1101,compulsory-elective
320,10011,1.0,2013-2014,1093,compulsory-elective
321,10011,1.0,2013-2014,1262,elective
322,10011,1.0,2013-2014,1208,elective
323,10011,1.0,2013-2014,1199,elective
324,10011,1.0,2013-2014,1083,elective
325,10011,1.0,2014-2015,1121,compulsory
326,10011,1.0,2014-2015,1211,compulsory-elective
327,10011,1.0,2014-2015,1171,compulsory-elective
328,10011,1.0,2014-2015,1267,elective
329,10011,1.0,2014-2015,1263,elective
330,10011,1.0,2014-2015,1160,elective
331,10011,1.0,2014-2015,1108,elective
332,10011,1.0,2014-2015,1087,elective
333,10011,1.0,2014-2015,1083,elective
334,10011,1.0,2015-2016,1178,compulsory
335,10011,1.0,2015-2016,1218,compulsory-elective
336,10011,1.0,2015-2016,1200,compulsory-elective
337,10011,1.0,2015-2016,1107,compulsory-elective
338,10011,1.0,2015-2016,1047,compulsory-elective
339,10011,1.0,2015-2016,1293,compulsory-elective
340,10011,1.0,2015-2016,1263,compulsory-elective
341,10011,1.0,2015-2016,1262,compulsory-elective
342,10011,1.0,2015-2016,1106,compulsory-elective
343,10011,1.0,2016-2017,1291,compulsory
344,10011,1.0,2016-2017,1028,compulsory
345,10011,1.0,2016-2017,1265,compulsory-elective
346,10011,1.0,2016-2017,1224,compulsory-elective
347,10011,1.0,2016-2017,1209,compulsory-elective
348,10011,1.0,2016-2017,1059,compulsory-elective
349,10011,1.0,2016-2017,1283,compulsory-elective
350,10011,1.0,2016-2017,1258,compulsory-elective
351,10011,1.0,2016-2017,1115,compulsory-elective
352,10011,1.0,2016-2017,1031,compulsory-elective
353,10011,1.0,2017-2018,1295,compulsory
354,10011,1.0,2017-2018,1031,compulsory
355,10011,1.0,2017-2018,1297,compulsory-elective
356,10011,1.0,2017-2018,1271,compulsory-elective
357,10011,1.0,2017-2018,1084,compulsory-elective
358,10011,1.0,2017-2018,1253,elective
359,10011,1.0,2017-2018,1166,elective
360,10011,1.0,2017-2018,1155,elective
361,10011,1.0,2017-2018,1088,elective
362,10011,1.0,2017-2018,1077,elective
363,10011,1.0,2018-2019,1104,compulsory
364,10011,1.0,2018-2019,1040,compulsory
365,10011,1.0,2018-2019,1256,compulsory-elective
366,10011,1.0,2018-2019,1233,compulsory-elective
367,10011,1.0,2018-2019,1184,compulsory-elective
368,10011,1.0,2018-2019,1253,elective
369,10011,1.0,2018-2019,1189,elective
370,10011,1.0,2018-2019,1092,elective
371,10011,1.0,2018-2019,1015,elective
372,10011,1.0,2018-2019,1006,elective
373,10011,1.0,2019-2020,1224,compulsory
374,10011,1.0,2019-2020,1193,compulsory
375,10011,1.0,2019-2020,1142,compulsory
376,10011,1.0,2019-2020,1022,compulsory
377,10011,1.0,2019-2020,1289,elective
378,10011,1.0,2019-2020,1274,elective
379,10011,1.0,2019-2020,1152,elective
380,10011,1.0,2019-2020,1145,elective
381,10011,1.0,2019-2020,1136,elective
382,10011,1.0,2019-2020,1127,elective
383,10011,1.0,2020-2021,1218,compulsory
384,10011,1.0,2020-2021,1186,compulsory
385,10011,1.0,2020-2021,1228,compulsory-elective
386,10011,1.0,2020-2021,1151,compulsory-elective
387,10011,1.0,2020-2021,1109,compulsory-elective
388,10011,1.0,2020-2021,1094,compulsory-elective
389,10011,1.0,2020-2021,1264,elective
390,10011,1.0,2020-2021,1137,elective
391,10011,1.0,2020-2021,1105,elective
392,10011,1.0,2020-2021,1063,elective
393,10011,1.0,2020-2021,1047,elective
394,10011,1.0,2020-2021,1045,elective
395,10011,1.0,2021-2022,1224,compulsory
396,10011,1.0,2021-2022,1055,compulsory
397,10011,1.0,2021-2022,1236,compulsory-elective
398,10011,1.0,2021-2022,1166,compulsory-elective
399,10011,1.0,2021-2022,1047,compulsory-elective
400,10011,1.0,2021-2022,1249,elective
401,10011,1.0,2021-2022,1149,elective
402,10011,1.0,2021-2022,1073,elective
403,10011,1.0,2021-2022,1045,elective
404,10011,1.0,2022-2023,1110,compulsory
405,10011,1.0,2022-2023,1251,compulsory-elective
406,10011,1.0,2022-2023,1234,compulsory-elective
407,10011,1.0,2022-2023,1102,compulsory-elective
408,10011,1.0,2022-2023,1049,compulsory-elective
409,10011,1.0,2022-2023,1242,elective
410,10011,1.0,2022-2023,1116,elective
411,10011,1.0,2022-2023,1087,elective
412,10011,1.0,2022-2023,1070,elective
413,10011,1.0,2022-2023,1069,elective
414,10011,1.0,2023-2024,1257,compulsory
415,10011,1.0,2023-2024,1232,compulsory
416,10011,1.0,2023-2024,1114,compulsory
417,10011,1.0,2023-2024,1076,compulsory
418,10011,1.0,2023-2024,1278,elective
419,10011,1.0,2023-2024,1261,elective
420,10011,1.0,2023-2024,1127,elective
421,10011,1.0,2023-2024,1126,elective
422,10011,1.0,2023-2024,1099,elective
423,10011,2.0,2013-2014,1236,compulsory
424,10011,2.0,2013-2014,1233,compulsory-elective
425,10011,2.0,2013-2014,1183,compulsory-elective
426,10011,2.0,2013-2014,1112,compulsory-elective
427,10011,2.0,2013-2014,1083,compulsory-elective
428,10011,2.0,2013-2014,1296,elective
429,10011,2.0,2013-2014,1248,elective
430,10011,2.0,2013-2014,1149,elective
431,10011,2.0,2013-2014,1066,elective
432,10011,2.0,2013-2014,1035,elective
433,10011,2.0,2014-2015,1155,compulsory
434,10011,2.0,2014-2015,1100,compulsory
435,10011,2.0,2014-2015,1050,compulsory
436,10011,2.0,2014-2015,1044,compulsory
437,10011,2.0,2014-2015,1288,elective
438,10011,2.0,2014-2015,1257,elective
439,10011,2.0,2014-2015,1113,elective
440,10011,2.0,2014-2015,1009,elective
441,10011,2.0,2015-2016,1269,compulsory
442,10011,2.0,2015-2016,1138,compulsory
443,10011,2.0,2015-2016,1251,compulsory
444,10011,2.0,2015-2016,1242,compulsory
445,10011,2.0,2015-2016,1293,elective
446,10011,2.0,2015-2016,1248,elective
447,10011,2.0,2015-2016,1198,elective
448,10011,2.0,2015-2016,1170,elective
449,10011,2.0,2015-2016,1143,elective
450,10011,2.0,2015-2016,1121,elective
451,10011,2.0,2016-2017,1131,compulsory
452,10011,2.0,2016-2017,1294,compulsory-elective
453,10011,2.0,2016-2017,1218,compulsory-elective
454,10011,2.0,2016-2017,1138,compulsory-elective
455,10011,2.0,2016-2017,1080,compulsory-elective
456,10011,2.0,2016-2017,1281,compulsory-elective
457,10011,2.0,2016-2017,1247,compulsory-elective
458,10011,2.0,2016-2017,1146,compulsory-elective
459,10011,2.0,2016-2017,1119,compulsory-elective
460,10011,2.0,2017-2018,1240,compulsory
461,10011,2.0,2017-2018,1192,compulsory
462,10011,2.0,2017-2018,1252,compulsory-elective
463,10011,2.0,2017-2018,1230,compulsory-elective
464,10011,2.0,2017-2018,1221,compulsory-elective
465,10011,2.0,2017-2018,1010,compulsory-elective
466,10011,2.0,2017-2018,1284,elective
467,10011,2.0,2017-2018,1203,elective
468,10011,2.0,2017-2018,1170,elective
469,10011,2.0,2017-2018,1145,elective
470,10011,2.0,2017-2018,1131,elective
471,10011,2.0,2017-2018,1046,elective
472,10011,2.0,2018-2019,1185,compulsory
473,10011,2.0,2018-2019,1090,compulsory-elective
474,10011,2.0,2018-2019,1082,compulsory-elective
475,10011,2.0,2018-2019,1290,elective
476,10011,2.0,2018-2019,1291,elective
477,10011,2.0,2018-2019,1267,elective
478,10011,2.0,2018-2019,1182,elective
479,10011,2.0,2018-2019,1044,elective
480,10011,2.0,2018-2019,1030,elective
481,10011,2.0,2019-2020,1236,compulsory
482,10011,2.0,2019-2020,1062,compulsory
483,10011,2.0,2019-2020,1260,compulsory-elective
484,10011,2.0,2019-2020,1168,compulsory-elective
485,10011,2.0,2019-2020,1089,compulsory-elective
486,10011,2.0,2019-2020,1080,compulsory-elective
487,10011,2.0,2019-2020,1299,elective
488,10011,2.0,2019-2020,1291,elective
489,10011,2.0,2019-2020,1286,elective
490,10011,2.0,2019-2020,1156,elective
491,10011,2.0,2019-2020,1144,elective
492,10011,2.0,2019-2020,1015,elective
493,10011,2.0,2020-2021,1218,compulsory
494,10011,2.0,2020-2021,1135,compulsory
495,10011,2.0,2020-2021,1240,compulsory
496,10011,2.0,2020-2021,1089,compulsory
497,10011,2.0,2020-2021,1285,elective
498,10011,2.0,2020-2021,1264,elective
499,10011,2.0,2020-2021,1217,elective
500,10011,2.0,2020-2021,1199,elective
501,10011,2.0,2020-2021,1167,elective
502,10011,2.0,2020-2021,1057,elective
503,10011,2.0,2021-2022,1210,compulsory
504,10011,2.0,2021-2022,1296,compulsory-elective
505,10011,2.0,2021-2022,1282,compulsory-elective
506,10011,2.0,2021-2022,1175,compulsory-elective
507,10011,2.0,2021-2022,1118,compulsory-elective
508,10011,2.0,2021-2022,1278,elective
509,10011,2.0,2021-2022,1133,elective
510,10011,2.0,2021-2022,1098,elective
511,10011,2.0,2021-2022,1081,elective
512,10011,2.0,2021-2022,1057,elective
513,10011,2.0,2022-2023,1242,compulsory
514,10011,2.0,2022-2023,1167,compulsory
515,10011,2.0,2022-2023,1202,compulsory
516,10011,2.0,2022-2023,1148,compulsory
517,10011,2.0,2022-2023,1239,elective
518,10011,2.0,2022-2023,1122,elective
519,10011,2.0,2022-2023,1060,elective
520,10011,2.0,2022-2023,1022,elective
521,10011,2.0,2022-2023,1020,elective
522,10011,2.0,2023-2024,1222,compulsory
523,10011,2.0,2023-2024,1251,compulsory-elective
524,10011,2.0,2023-2024,1191,compulsory-elective
525,10011,2.0,2023-2024,1022,compulsory-elective
526,10011,2.0,2023-2024,1188,elective
527,10011,2.0,2023-2024,1155,elective
528,10011,2.0,2023-2024,1048,elective
529,10011,2.0,2023-2024,1004,elective
530,10011,3.0,2013-2014,1203,compulsory
531,10011,3.0,2013-2014,1174,compulsory
532,10011,3.0,2013-2014,1268,compulsory-elective
533,10011,3.0,2013-2014,1176,compulsory-elective
534,10011,3.0,2013-2014,1046,compulsory-elective
535,10011,3.0,2013-2014,1291,elective
536,10011,3.0,2013-2014,1081,elective
537,10011,3.0,2013-2014,1060,elective
538,10011,3.0,2013-2014,1042,elective
539,10011,3.0,2014-2015,1164,compulsory
540,10011,3.0,2014-2015,1234,compulsory-elective
541,10011,3.0,2014-2015,1112,compulsory-elective
542,10011,3.0,2014-2015,1045,compulsory-elective
543,10011,3.0,2014-2015,1272,elective
544,10011,3.0,2014-2015,1206,elective
545,10011,3.0,2014-2015,1152,elective
546,10011,3.0,2014-2015,1090,elective
547,10011,3.0,2014-2015,1014,elective
548,10011,3.0,2015-2016,1263,compulsory
549,10011,3.0,2015-2016,1037,compulsory
550,10011,3.0,2015-2016,1081,compulsory-elective
551,10011,3.0,2015-2016,1080,compulsory-elective
552,10011,3.0,2015-2016,1067,compulsory-elective
553,10011,3.0,2015-2016,1012,compulsory-elective
554,10011,3.0,2015-2016,1191,elective
555,10011,3.0,2015-2016,1103,elective
556,10011,3.0,2015-2016,1055,elective
557,10011,3.0,2015-2016,1051,elective
558,10011,3.0,2015-2016,1044,elective
559,10011,3.0,2016-2017,1243,compulsory
560,10011,3.0,2016-2017,1273,compulsory-elective
561,10011,3.0,2016-2017,1211,compulsory-elective
562,10011,3.0,2016-2017,1172,compulsory-elective
563,10011,3.0,2016-2017,1134,compulsory-elective
564,10011,3.0,2016-2017,1281,elective
565,10011,3.0,2016-2017,1269,elective
566,10011,3.0,2016-2017,1173,elective
567,10011,3.0,2016-2017,1168,elective
568,10011,3.0,2016-2017,1152,elective
569,10011,3.0,2016-2017,1078,elective
570,10011,3.0,2017-2018,1239,compulsory
571,10011,3.0,2017-2018,1228,compulsory
572,10011,3.0,2017-2018,1184,compulsory-elective
573,10011,3.0,2017-2018,1130,compulsory-elective
574,10011,3.0,2017-2018,1112,compulsory-elective
575,10011,3.0,2017-2018,1028,compulsory-elective
576,10011,3.0,2017-2018,1280,elective
577,10011,3.0,2017-2018,1260,elective
578,10011,3.0,2017-2018,1234,elective
579,10011,3.0,2017-2018,1172,elective
580,10011,3.0,2017-2018,1024,elective
581,10011,3.0,2018-2019,1136,compulsory
582,10011,3.0,2018-2019,1127,compulsory
583,10011,3.0,2018-2019,1230,compulsory-elective
584,10011,3.0,2018-2019,1112,compulsory-elective
585,10011,3.0,2018-2019,1034,compulsory-elective
586,10011,3.0,2018-2019,1271,elective
587,10011,3.0,2018-2019,1195,elective
588,10011,3.0,2018-2019,1179,elective
589,10011,3.0,2018-2019,1174,elective
590,10011,3.0,2018-2019,1092,elective
591,10011,3.0,2019-2020,1264,compulsory
592,10011,3.0,2019-2020,1229,compulsory
593,10011,3.0,2019-2020,1261,compulsory-elective
594,10011,3.0,2019-2020,1233,compulsory-elective
595,10011,3.0,2019-2020,1225,compulsory-elective
596,10011,3.0,2019-2020,1033,compulsory-elective
597,10011,3.0,2019-2020,1223,elective
598,10011,3.0,2019-2020,1078,elective
599,10011,3.0,2019-2020,1050,elective
600,10011,3.0,2019-2020,1036,elective
601,10011,3.0,2019-2020,1014,elective
602,10011,3.0,2020-2021,1275,compulsory
603,10011,3.0,2020-2021,1178,compulsory-elective
604,10011,3.0,2020-2021,1083,compulsory-elective
605,10011,3.0,2020-2021,1014,compulsory-elective
606,10011,3.0,2020-2021,1256,elective
607,10011,3.0,2020-2021,1242,elective
